IMS_Master__r_Billing_Location__r_Client_from_Parent__c,IMS_Master__r_Billing_Location__r_Job_From_Name__c,IMS_Master__r_Order_Group__c,IMS_Master__r_Product_Name__c,IMS_Master__r_Manufacturer__r_Name,IMS_Master__r_Manufacturer_Number__c,IMS_Master__r_Feature__c,IMS_Master__r_Color__c,IMS_Master__r_IMS_Build__r_Logo_Design_1__r_Logo_Number__c,IMS_Master__r_IMS_Build__r_Logo_Location_1__c,IMS_Master__r_IMS_Build__r_Logo_Design_2__r_Logo_Number__c,IMS_Master__r_IMS_Build__r_Logo_Location_2__c,IMS_Master__r_IMS_Build__r_Logo_Design_3__r_Logo_Number__c,IMS_Master__r_IMS_Build__r_Logo_Location_3__c,IMS_Master__r_IMS_Build__r_Logo_Design_4__r_Logo_Number__c,IMS_Master__r_IMS_Build__r_Logo_Location_4__c,Size__c,IMS_Master__r_Class__c,IMS_Master__r_Category__c,IMS_Master__r_Group__c,IMS_Master__r_Sub_Group__c,Id
"Apple, Inc.",Apple Cupertino,"Apple, Inc.",Tactical TDU 1.5" Wide,5.11 Tactical,NP569,"",Black,"","","","","","","","",4XL,Uniform,Clothing,Campus,Specialist,a4bA00000016UxzIAE
"Apple, Inc.",Apple Cupertino,"Apple, Inc.",Tactical Apex,5.11 Tactical,TT824,"",Khaki,"","","","","","","","",34,Uniform,Clothing,Campus,Specialist,a4bA00000016UvAIAU
"Apple, Inc.",Apple Cupertino,"Apple, Inc.",Tactical Apex,5.11 Tactical,TT824,"",Khaki,"","","","","","","","",42,Uniform,Clothing,Campus,Specialist,a4bA00000016UvBIAU
"Apple, Inc.",Apple Cupertino,"Apple, Inc.",Tactical Apex,5.11 Tactical,TT824,"",Khaki,"","","","","","","","",46,Uniform,Clothing,Campus,Specialist,a4bA00000016UwwIAE
"Apple, Inc.",Apple Cupertino,"Apple, Inc.",Tactical TDU 1.5" Wide,5.11 Tactical,NP569,"",Black,"","","","","","","","",S,Uniform,Clothing,Campus,Specialist,a4bA00000016UxQIAU
"Apple, Inc.",Apple Cupertino,"Apple, Inc.",Taclite Pro,5.11 Tactical,TR506,"",Khaki,"","","","","","","","",46,Uniform,Clothing,Campus,Specialist,a4bA00000016UpgIAE
"Apple, Inc.",Apple Cupertino,"Apple, Inc.",Taclite Pro,5.11 Tactical,TR506,"",Khaki,"","","","","","","","",34,Uniform,Clothing,Campus,Specialist,a4bA00000016UnaIAE
"Apple, Inc.",Apple Cupertino,"Apple, Inc.",Taclite Pro,5.11 Tactical,TR506,"",Khaki,"","","","","","","","",40,Uniform,Clothing,Campus,Specialist,a4bA00000016UnbIAE
"Apple, Inc.",Apple Cupertino,"Apple, Inc.",Tactical Apex,5.11 Tactical,TT824,"",Khaki,"","","","","","","","",40,Uniform,Clothing,Campus,Specialist,a4bA00000016Uw3IAE
"Apple, Inc.",Apple Cupertino,"Apple, Inc.",Tactical Apex,5.11 Tactical,TT824,"",Khaki,"","","","","","","","",44,Uniform,Clothing,Campus,Specialist,a4bA00000016UwSIAU
Miami Design District,Miami Design District,Miami Design District - Coastal Construction,Textured Soft Shell Jacket,Port Authority,J705,"",Stone,SES30A,Left Chest,SES31A,Back Full Chest,"","","","",3XL,Uniform,Clothing,Operations,General,a4bA00000016V0FIAU
Pegatron,Pegatron Elk Grove,Pegatron,Tactical Taclite Pro,5.11 Tactical,TR506,"",Black,"","","","","","","","",32,Uniform,Clothing,Campus,Specialist,a4bA00000016eLvIAI
Pegatron,Pegatron Elk Grove,Pegatron,Tactical Taclite Pro,5.11 Tactical,TR506,"",Black,"","","","","","","","",34,Uniform,Clothing,Campus,Specialist,a4bA00000016eLwIAI
Pegatron,Pegatron Elk Grove,Pegatron,Tactical Taclite Pro,5.11 Tactical,TR506,"",Black,"","","","","","","","",30,Uniform,Clothing,Campus,Specialist,a4bA00000016eLgIAI
